exam,size
1-0001C,15
1-0053C,168
1-0129C,101
1-0205C,39
1-0272C,70
1-0278C,96
1-0292C,97
1-0296C,41
1-0303C,230
1-0358C,25
1-0405C,51
1-1005,118
1-10074,45
1-10078,126
1-10129,234
1-1015,150
1-10152,103
1-10219,52
1-10249,29
1-10354,44
1-10394,115
1-10442,32
1-10445,74
1-10507,12
1-10542,33
1-10544,39
1-10574,117
1-10591,19
1-10616,35
1-1063,66
1-10667,63
1-10669,21
1-10767,49
1-10768,56
1-10769,48
1-10770,43
1-10771,45
1-10880,17
1-10962,33
1-10979,38
1-10981,53
1-11002,44
1-11115,13
1-1131C,119
1-1165C,231
1-1177C,22
1-1191C,49
1-1196,28
1-1204C,36
1-1224C,142
1-1250C,35
1-1258C,575
1-1317C,572
1-1350C,180
1-1404,72
1-1462C,249
1-1482C,47
1-1595,156
1-1605,399
1-1617,42
1-1618,26
1-1637,278
1-16909,84
1-16923,22
1-16979,117
1-17031,22
1-17127,35
1-17128,13
1-17173,15
1-17393,13
1-1750,49
1-1769C,122
1-17708,14
1-17711,185
1-17759,48
1-17762,90
1-17839,2
1-17876,16
1-17879,4
1-17910,14
1-1805,29
1-18050,16
1-18245,81
1-18285,23
1-18286,35
1-18288,25
1-18304,16
1-1833C,92
1-18391,16
1-18399,1
1-18430,51
1-18515,5
1-1872,26
1-18772,17
1-18780,50
1-18799,497
1-1881,20
1-18898,58
1-18929,36
1-18931,33
1-1895,23
1-19136,9
1-19232,15
1-19244,12
1-19282,13
1-19296,10
1-19354,32
1-19409,6
1-19443,245
1-19619,44
1-19666,1
1-19678,13
1-19702,1
1-19753,6
1-19778,2
1-19852,8
1-19853,1
1-1992,16
1-1999,44
1-20038,33
1-20040,13
1-20041,6
1-2014,34
1-20215,12
1-20216,15
1-20254,14
1-20256,37
1-20499,7
1-20815,5
1-2092,32
1-2093,30
1-2113,101
1-2151C,247
1-2189,25
1-2190,24
1-2211,10
1-2244,12
1-2245,120
1-2276,11
1-2294C,75
1-2382C,181
1-2388,22
1-2410,324
1-2423C,94
1-2431,31
1-2442,27
1-2501,33
1-2522,142
1-2539,20
1-2545C,98
1-2573C,28
1-2604C,16
1-2670C,106
1-2701C,69
1-2714C,82
1-2747,10
1-3017,40
1-3447C,113
1-3527,8
1-3564,186
1-3564C,28
1-3586,26
1-3603,7
1-3604,22
1-3605,23
1-3606,20
1-3607,22
1-3638,190
1-3640,178
1-3676,9
1-3677,2
1-3679,11
1-3702,7
1-3712,66
1-3716,43
1-3722,4
1-3723,3
1-3820,44
1-3827,6
1-3880,115
1-4020C,32
1-4027,43
1-4028,27
1-4034,145
1-4037,48
1-4039,26
1-4041,562
1-4052,356
1-4053,142
1-4069,5
1-4098C,16
1-4114,44
1-4117,67
1-4119,21
1-4126,250
1-4142,15
1-4169,33
1-4176,9
1-4177,6
1-4319C,203
1-4588,3
1-4626,27
1-4634C,34
1-4649C,192
1-4678,5
1-4691,19
1-4747C,31
1-4904,9
1-4905,40
